 iter		r		tau_p		r_diff		tau_p_diff
           0  2.179410568507181E-002  0.129471533131074       5.630056850718143E-003  6.494933737852288E-003
           1  2.204488479556801E-002  0.127995923181401       2.507791104961944E-003  2.951219899345381E-003
           2  2.215726302997954E-002  0.127324856183083       1.123782344115275E-003  1.342133996636796E-003
           3  2.220853740886314E-002  0.127019858832283       5.127437888360203E-004  6.099947015991702E-004
           4  2.223153448992646E-002  0.126881110271555       2.299708106332232E-004  2.774971214569155E-004
           5  2.224170077294005E-002  0.126817786771525       1.016628301358791E-004  1.266470000586828E-004
           6  2.224627852575109E-002  0.126788871303436       4.577752811037519E-005  5.783093617967028E-005
           7  2.224814148758371E-002  0.126775579822293       1.862961832617763E-005  2.658296228416623E-005
           8  2.224897275499939E-002  0.126769440609085       8.312674156872590E-006  1.227842641796095E-005
           9  2.224928033387768E-002  0.126766561640518       3.075788782874039E-006  5.757937133143987E-006
          10  2.224941194769735E-002  0.126765205981992       1.316138196743449E-006  2.711317051540263E-006
          11  2.224946534217539E-002  0.126764562233390       5.339447803655306E-007  1.287497203988908E-006
          12  2.224948665612416E-002  0.126764254738089       2.131394877258330E-007  6.149906021379881E-007
