 pathcounter  err_tran_KN		     err_tran_tau_p			err_tran_hsv_0
           1  0.243679716309657       6.700604209061739E-003  1.918140659720646E-002
           2  0.222808102788959       3.350447448393523E-003  9.124195687579717E-003
           3  0.260051489266646       1.665732731088720E-003  4.227002640253441E-003
           4  0.226301902451549       8.168572814475084E-004  1.908145141814921E-003
           5  0.174824376819815       3.892001280950408E-004  8.258320455531987E-004
           6  0.127466893013407       1.749986716611807E-004  3.303492745577730E-004
           7  9.029856271260250E-002  8.346571481454568E-005  1.168958336115189E-004
           8  6.333628523991308E-002  7.738257354550360E-005  7.372520310267028E-005
           9  4.453236444658248E-002  6.428176125680696E-005  6.626821349919876E-005
          10  3.156253555650412E-002  5.030603101238706E-005  5.469076871067458E-005
          11  2.273632832548245E-002  3.806921716301148E-005  4.141704451476880E-005
          12  1.665408974367910E-002  2.836254722102249E-005  3.007186305237219E-005
          13  1.249153658541946E-002  2.106607448343345E-005  2.099122140664100E-005
          14  9.668817138964059E-003  1.574318021582699E-005  1.430314931538668E-005
          15  7.654461217311948E-003  1.184641673723785E-005  9.599992675135560E-006
          16  6.046978612074483E-003  8.976398334636926E-006  6.496714978654339E-006
          17  4.756240763827080E-003  6.920246794772655E-006  4.418472798528583E-006
          18  3.757304804393513E-003  5.520852812773702E-006  3.012557156845119E-006
          19  2.966396459468612E-003  4.447392922768412E-006  2.083429364474476E-006
          20  2.340625647441641E-003  3.568938072434635E-006  1.462005720931359E-006
          21  1.846363605041645E-003  2.853178612483021E-006  1.088922746528276E-006
          22  1.455621350476832E-003  2.277596335170662E-006  1.022395478056382E-006
          23  1.147137227185624E-003  1.814252775039771E-006  1.075518165416511E-006
          24  9.035934761847386E-004  1.443125637934362E-006  8.442165624344966E-007
