 iter		r		tau_p		hsv_0		r_diff		tau_p_diff		hsv_0_diff
           0  2.163518154853845E-002  0.132941856700489       0.796784786296876       4.040815485384548E-003  1.569684934259796E-003  4.421034499428600E-004
           1  2.176460015456525E-002  0.133019129812338       0.797716133698419       1.294186060267974E-003  1.862694803085096E-003  1.545462236980377E-004
           2  2.177826281260760E-002  0.133035885520989       0.798368393736725       1.366265804234948E-004  1.304520076612192E-003  3.351141730317808E-005
           3  2.175950289714454E-002  0.133033582981100       0.798714018471858       1.875991546305897E-004  6.912494702662197E-004  4.605079779618215E-006
           4  2.173978208026863E-002  0.133029424022930       0.798863131571229       1.972081687591394E-004  2.982261987425350E-004  8.317916339956044E-006
           5  2.172548368005094E-002  0.133026731919341       0.798914021979727       1.429840021768651E-004  1.017808169954115E-004  5.384207178327216E-006
           6  2.171863763710567E-002  0.133026415534771       0.798918430264072       6.846042945270192E-005  8.816568690450666E-006  6.327691393082091E-007
           7  2.171580841502214E-002  0.133026996462958       0.798911265949088       2.829222083529717E-005  1.432862996730844E-005  1.161856374276571E-006
           8  2.171497859900447E-002  0.133027804321773       0.798903697358636       8.298160176698627E-006  1.513718090428995E-005  1.615717629077640E-006
           9  2.171494153965960E-002  0.133028515342631       0.798898668553332       3.705934486751550E-007  1.005761060901555E-005  1.422041717741296E-006
          10  2.171511795669529E-002  0.133029035067958       0.798896027905184       1.764170356924333E-006  5.281296296399951E-006  1.039450653411711E-006
          11  2.171528877899334E-002  0.133029376531496       0.798894899623802       1.708222980491281E-006  2.256562762981140E-006  6.829270760011497E-007
          12  2.171539882275638E-002  0.133029585985385       0.798894545878323       1.100437630331685E-006  7.074909581517019E-007  4.189077782990047E-007
          13  2.171545717783869E-002  0.133029709553093       0.798894503123464       5.835508230800368E-007  8.550971730691970E-008  2.471354162425499E-007
