 pathcounter  err_tran_KN		     err_tran_tau_p			err_tran_hsv_0
           1   1.34712425753038       8.244562048268789E-004  5.587781540808778E-002
           2  0.349789216207938       5.071628882991341E-004  2.962216967848141E-002
           3  0.312111738054214       3.918421770852110E-004  1.500974524151255E-002
           4  0.270897738799283       3.117356926273240E-004  7.377080372718670E-003
           5  0.225443970237366       2.397606564121246E-004  3.534528236196155E-003
           6  0.182828822032714       1.787701761409577E-004  1.657436760340802E-003
           7  0.145872633161102       1.360462647796712E-004  7.717000683205022E-004
           8  0.115188155292666       1.025414890830079E-004  3.588411214112686E-004
           9  9.041521398180485E-002  7.684190832818460E-005  1.655753947493732E-004
          10  7.068662867185616E-002  5.745611368832004E-005  7.598963719745999E-005
          11  5.508966476755983E-002  4.481288131114036E-005  5.370689761874381E-005
          12  4.288518409773534E-002  3.534271832361657E-005  3.953170608850254E-005
          13  3.333089340437123E-002  2.728595273476797E-005  2.809620142674163E-005
          14  2.588298128900846E-002  2.361551128839012E-003  1.959236327730984E-005
          15  1.866500992331321E-002  1.449738762615921E-003  2.768234848226081E-004
          16  1.322722990940406E-002  8.199944637237166E-004  3.110474829672860E-004
          17  9.471788760749611E-003  4.779450239931204E-004  2.528935753248751E-004
          18  6.695249890809052E-003  2.509322614420162E-004  1.834557849748064E-004
          19  4.843368917177848E-003  1.317260548581445E-004  1.210914376359451E-004
          20  3.480176949786973E-003  6.917652581511780E-005  7.567776554295857E-005
          21  2.562347812125942E-003  3.641337397908284E-005  4.566317471765835E-005
          22  1.908998757144786E-003  3.284314637816421E-005  2.673682958409529E-005
          23  1.435337890521637E-003  1.732749287158830E-005  1.705857290656976E-005
          24  1.077816728176195E-003  9.081820970591181E-006  1.029728158841170E-005
          25  8.133936482339621E-004  4.750706153716644E-006  5.984813261528110E-006
